Timestep , Time value
0 ,  1.99938e-002
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , particles_vof
0.00000e+000 , 2.60000e-001 , 0.00000e+000 , 2.60000e-001 , 5.74388e-001
0.00000e+000 , 2.70000e-001 , 0.00000e+000 , 2.70000e-001 , 5.72032e-001
0.00000e+000 , 2.80000e-001 , 0.00000e+000 , 2.80000e-001 , 5.72555e-001
0.00000e+000 , 2.90000e-001 , 0.00000e+000 , 2.90000e-001 , 5.73079e-001
0.00000e+000 , 3.00000e-001 , 0.00000e+000 , 3.00000e-001 , 5.75173e-001
0.00000e+000 , 3.10000e-001 , 0.00000e+000 , 3.10000e-001 , 5.77529e-001
0.00000e+000 , 3.20000e-001 , 0.00000e+000 , 3.20000e-001 , 5.74650e-001
0.00000e+000 , 3.30000e-001 , 0.00000e+000 , 3.30000e-001 , 5.72555e-001
0.00000e+000 , 3.40000e-001 , 0.00000e+000 , 3.40000e-001 , 5.73341e-001
0.00000e+000 , 3.50000e-001 , 0.00000e+000 , 3.50000e-001 , 5.72293e-001
0.00000e+000 , 3.60000e-001 , 0.00000e+000 , 3.60000e-001 , 5.71508e-001
0.00000e+000 , 3.70000e-001 , 0.00000e+000 , 3.70000e-001 , 5.71770e-001
0.00000e+000 , 3.80000e-001 , 0.00000e+000 , 3.80000e-001 , 5.68890e-001
0.00000e+000 , 3.90000e-001 , 0.00000e+000 , 3.90000e-001 , 5.71508e-001
0.00000e+000 , 4.00000e-001 , 0.00000e+000 , 4.00000e-001 , 5.73341e-001
0.00000e+000 , 4.10000e-001 , 0.00000e+000 , 4.10000e-001 , 5.72555e-001
0.00000e+000 , 4.20000e-001 , 0.00000e+000 , 4.20000e-001 , 5.74388e-001
0.00000e+000 , 4.30000e-001 , 0.00000e+000 , 4.30000e-001 , 5.71246e-001
0.00000e+000 , 4.40000e-001 , 0.00000e+000 , 4.40000e-001 , 5.69675e-001
0.00000e+000 , 4.50000e-001 , 0.00000e+000 , 4.50000e-001 , 5.69675e-001
0.00000e+000 , 4.60000e-001 , 0.00000e+000 , 4.60000e-001 , 5.70723e-001
0.00000e+000 , 4.70000e-001 , 0.00000e+000 , 4.70000e-001 , 5.69675e-001
0.00000e+000 , 4.80000e-001 , 0.00000e+000 , 4.80000e-001 , 5.70199e-001
0.00000e+000 , 4.90000e-001 , 0.00000e+000 , 4.90000e-001 , 5.70461e-001
0.00000e+000 , 5.00000e-001 , 0.00000e+000 , 5.00000e-001 , 5.68105e-001
Timestep , Time value
5 ,  1.19963e-001
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , particles_vof
0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 5.77006e-001
0.00000e+000 , 1.00000e-002 , 0.00000e+000 , 1.00000e-002 , 5.76220e-001
0.00000e+000 , 2.00000e-002 , 0.00000e+000 , 2.00000e-002 , 5.74911e-001
