   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , pressure
0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 0.00000e+000 , 6.70898e+006
0.00000e+000 , 1.00000e-002 , 0.00000e+000 , 1.00000e-002 , 6.63765e+006
0.00000e+000 , 2.00000e-002 , 0.00000e+000 , 2.00000e-002 , 6.49787e+006
0.00000e+000 , 3.00000e-002 , 0.00000e+000 , 3.00000e-002 , 6.35940e+006
0.00000e+000 , 4.00000e-002 , 0.00000e+000 , 4.00000e-002 , 6.21868e+006
0.00000e+000 , 5.00000e-002 , 0.00000e+000 , 5.00000e-002 , 6.07843e+006
0.00000e+000 , 6.00000e-002 , 0.00000e+000 , 6.00000e-002 , 5.93806e+006
0.00000e+000 , 7.00000e-002 , 0.00000e+000 , 7.00000e-002 , 5.79484e+006
0.00000e+000 , 8.00000e-002 , 0.00000e+000 , 8.00000e-002 , 5.65352e+006
0.00000e+000 , 9.00000e-002 , 0.00000e+000 , 9.00000e-002 , 5.51430e+006
0.00000e+000 , 1.00000e-001 , 0.00000e+000 , 1.00000e-001 , 5.37249e+006
0.00000e+000 , 1.10000e-001 , 0.00000e+000 , 1.10000e-001 , 5.23302e+006
0.00000e+000 , 1.20000e-001 , 0.00000e+000 , 1.20000e-001 , 5.09661e+006
0.00000e+000 , 1.30000e-001 , 0.00000e+000 , 1.30000e-001 , 4.95941e+006
0.00000e+000 , 1.40000e-001 , 0.00000e+000 , 1.40000e-001 , 4.82172e+006
0.00000e+000 , 1.50000e-001 , 0.00000e+000 , 1.50000e-001 , 4.68120e+006
0.00000e+000 , 1.60000e-001 , 0.00000e+000 , 1.60000e-001 , 4.53944e+006
0.00000e+000 , 1.70000e-001 , 0.00000e+000 , 1.70000e-001 , 4.40123e+006
0.00000e+000 , 1.80000e-001 , 0.00000e+000 , 1.80000e-001 , 4.26209e+006
0.00000e+000 , 1.90000e-001 , 0.00000e+000 , 1.90000e-001 , 4.12185e+006
0.00000e+000 , 2.00000e-001 , 0.00000e+000 , 2.00000e-001 , 3.98385e+006
0.00000e+000 , 2.10000e-001 , 0.00000e+000 , 2.10000e-001 , 3.84433e+006
0.00000e+000 , 2.20000e-001 , 0.00000e+000 , 2.20000e-001 , 3.70179e+006
0.00000e+000 , 2.30000e-001 , 0.00000e+000 , 2.30000e-001 , 3.55936e+006
0.00000e+000 , 2.40000e-001 , 0.00000e+000 , 2.40000e-001 , 3.42160e+006
0.00000e+000 , 2.50000e-001 , 0.00000e+000 , 2.50000e-001 , 3.28607e+006
0.00000e+000 , 2.60000e-001 , 0.00000e+000 , 2.60000e-001 , 3.14865e+006
0.00000e+000 , 2.70000e-001 , 0.00000e+000 , 2.70000e-001 , 3.01262e+006
0.00000e+000 , 2.80000e-001 , 0.00000e+000 , 2.80000e-001 , 2.87779e+006
0.00000e+000 , 2.90000e-001 , 0.00000e+000 , 2.90000e-001 , 2.74203e+006
0.00000e+000 , 3.00000e-001 , 0.00000e+000 , 3.00000e-001 , 2.60583e+006
0.00000e+000 , 3.10000e-001 , 0.00000e+000 , 3.10000e-001 , 2.46786e+006
0.00000e+000 , 3.20000e-001 , 0.00000e+000 , 3.20000e-001 , 2.32916e+006
0.00000e+000 , 3.30000e-001 , 0.00000e+000 , 3.30000e-001 , 2.19251e+006
0.00000e+000 , 3.40000e-001 , 0.00000e+000 , 3.40000e-001 , 2.05645e+006
0.00000e+000 , 3.50000e-001 , 0.00000e+000 , 3.50000e-001 , 1.92093e+006
0.00000e+000 , 3.60000e-001 , 0.00000e+000 , 3.60000e-001 , 1.78712e+006
0.00000e+000 , 3.70000e-001 , 0.00000e+000 , 3.70000e-001 , 1.65347e+006
0.00000e+000 , 3.80000e-001 , 0.00000e+000 , 3.80000e-001 , 1.52057e+006
0.00000e+000 , 3.90000e-001 , 0.00000e+000 , 3.90000e-001 , 1.38953e+006
0.00000e+000 , 4.00000e-001 , 0.00000e+000 , 4.00000e-001 , 1.25663e+006
0.00000e+000 , 4.10000e-001 , 0.00000e+000 , 4.10000e-001 , 1.12123e+006
0.00000e+000 , 4.20000e-001 , 0.00000e+000 , 4.20000e-001 , 9.85186e+005
0.00000e+000 , 4.30000e-001 , 0.00000e+000 , 4.30000e-001 , 8.50568e+005
0.00000e+000 , 4.40000e-001 , 0.00000e+000 , 4.40000e-001 , 7.18980e+005
0.00000e+000 , 4.50000e-001 , 0.00000e+000 , 4.50000e-001 , 5.87980e+005
0.00000e+000 , 4.60000e-001 , 0.00000e+000 , 4.60000e-001 , 4.56408e+005
0.00000e+000 , 4.70000e-001 , 0.00000e+000 , 4.70000e-001 , 3.24299e+005
0.00000e+000 , 4.80000e-001 , 0.00000e+000 , 4.80000e-001 , 1.91797e+005
0.00000e+000 , 4.90000e-001 , 0.00000e+000 , 4.90000e-001 , 6.84493e+004
0.00000e+000 , 5.00000e-001 , 0.00000e+000 , 5.00000e-001 , 1.15935e+004
